contract_address,malicious
0444f06a52320af2df7e60d1923080002838ce93,1
4865e85c72a27ca6c362da75ba6707c07464b953,1
e7f06e64e0d04c6cfedf7e9079d56d0fb7200a2e,1
cff9cb72d19c10df754ae7be6d280e379cdb2354,1
7d56485e026d5d3881f778e99969d2b1f90c50af,1
0f26c26318872e8fa85dee5d30cba45ed53b3d3e,1
c99b3615724b7c4d3e4b348cfc8a25b9e2133828,1
02b2101903eb6a51518e63e84b785180859fda9d,1
7fcc7ed28c99f64f721be410ad816247925aade8,1
1ff3f56609d0771abb49566600febade0e708beb,1
772cba2f87f92e95bb8ffa96187bbedebbb484d3,1
6846b938f9be9f1eeeb9bfd853636c805f8f54d3,1
e8b55deaced913c5c6890331d2926ea0fcbe59ac,1
49c3019b7a83b3c77a823255533975969027308d,1
b5aff01f3e820735fac9abb594dc9993cb9e5bd2,1
55d035ba1f4ae932cf98125b93d830d9858cd39f,1
428da5ff72d8be0efaa85336b6c6a9fc9e0f73fe,1
fd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,1
cac337492149bdb66b088bf5914bedfbf78ccc18,1
e82719202e5965cf5d9b6673b7503a3b92de20be,1
8ea6c8077d6316b46e449aec8fb60a606cf50eea,1
6adf9e666e3e85876b1ba25edb31799faad8417b,1
1afd952269873fe009c7bdff5f07fd91605a7227,1
f1c1648f6f0edbcf7d898441b88e489cfaace11d,1
99d982e49bcb5465a6b4c1e0ec4341c912d9ba42,1
294308484f47ff5a833a284ac6949eb02728fbe4,1
09515cb5e3acaef239ab83d78b2f3e3764fcab9b,1
ba3048b17d1e8c1412ea29af9af795786065b5f9,1
8e66ffe69b3f8d78f2a696e40c02f7454c0a01d9,1
